lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
81.25,11.25,7.8,7.29,9.06,12.75,16.05,17.61,22.08,28.47,26.34,24.84,12.39,8.97
81.25,15,7.53,7.2,8.73,12.03,15.72,19.35,23.07,28.53,25.68,23.94,11.76,8.58
81.25,18.75,7.5,7.32,8.82,12.27,16.35,20.58,24.09,30.12,26.94,24.51,11.91,8.64
81.25,22.5,7.44,7.38,8.88,12.63,17.04,22.23,25.65,31.77,28.59,25.26,12.24,8.7
81.25,26.25,7.53,7.53,9.09,13.29,17.76,23.61,27.18,33.27,30.15,26.01,12.75,8.94
81.25,30,7.68,7.62,9.24,13.74,18.09,24.33,28.02,33.63,30.87,26.43,13.05,9.12
81.25,33.75,7.74,7.62,9.24,13.89,17.97,24.24,27.78,33.57,30.93,26.34,12.96,9.12
81.25,37.5,7.74,7.5,9.03,13.65,17.73,23.82,26.82,33.27,30.54,25.74,12.48,8.88
81.25,41.25,7.68,7.38,8.79,13.23,17.76,23.16,25.98,32.94,29.76,25.35,11.85,8.58
81.25,45,7.65,7.32,8.58,12.9,17.97,22.95,25.2,32.67,28.95,25.08,11.31,8.31
81.25,48.75,7.65,7.38,8.43,12.66,18.21,23.49,25.2,33.12,28.65,24.24,10.92,8.16
81.25,52.5,7.53,7.41,8.25,12.39,18.3,24.3,25.83,33.48,28.68,23.1,10.59,7.92
81.25,56.25,7.23,7.26,7.92,11.88,17.85,24.9,25.98,32.37,27.93,22.05,10.11,7.5
81.25,60,7.05,7.2,7.71,11.64,18.06,25.95,26.52,31.65,27.69,21.54,9.9,7.26
81.25,63.75,7.11,7.35,7.8,12.06,19.56,27.66,27.84,32.28,28.98,21.33,10.23,7.41
81.25,67.5,6.9,7.26,7.59,12,19.68,28.5,27.27,31.26,28.86,20.19,10.08,7.23
81.25,71.25,6.51,7.02,7.32,11.49,18.9,28.47,26.49,30.27,28.26,19.44,9.66,6.9
81.25,75,6.18,6.78,7.11,10.89,17.73,28.02,25.86,29.49,27.84,19.44,9.21,6.57
81.25,78.75,5.97,6.63,6.99,10.62,17.37,27.6,25.29,29.07,28.2,19.71,8.97,6.39
81.25,82.5,5.88,6.57,6.96,10.59,17.46,27.87,24.84,29.19,28.47,20.22,8.85,6.33
81.25,86.25,5.85,6.6,7.05,10.83,17.97,28.17,25.38,29.97,29.01,20.43,8.85,6.36
81.25,90,5.82,6.48,6.99,10.68,17.73,28.17,26.31,30.06,28.53,20.07,8.61,6.3
81.25,93.75,5.85,6.48,7.02,10.38,17.37,28.05,27.3,30.84,28.68,19.68,8.37,6.33
81.25,97.5,5.76,6.33,6.96,9.81,16.26,26.19,26.16,29.58,28.47,19.68,7.95,6.21
81.25,-82.5,4.2,4.11,4.83,7.38,14.19,19.17,25.95,33.63,28.98,16.29,8.31,5.4
81.25,-78.75,3.96,3.78,4.53,7.05,14.55,20.4,26.4,31.5,27.69,15.63,7.68,5.07
81.25,-75,3.99,3.6,4.32,6.66,14.4,19.86,24.54,28.02,26.34,15.69,7.23,4.89
81.25,-71.25,4.71,4.05,4.86,7.41,16.47,22.56,27.84,30.93,28.56,17.43,8.01,5.61
81.25,-67.5,5.25,4.5,5.37,7.95,16.71,23.85,29.67,32.28,31.56,21.36,9.03,6.33
81.25,-63.75,5.52,4.77,5.61,8.34,16.62,19.77,25.44,31.77,33.57,23.25,9.81,6.72
81.25,-52.5,5.07,4.68,5.58,8.49,13.05,20.7,29.94,35.01,29.07,21.9,9.87,6.42
81.25,-48.75,5.13,4.65,5.73,9.06,14.1,30.57,39.9,37.89,29.19,21.72,9.93,6.48
81.25,-45,5.94,5.13,6.39,10.17,16.23,33.18,44.01,37.56,29.04,22.92,10.44,7.23
81.25,-41.25,6.18,5.01,6.39,10.17,16.8,32.97,42.21,35.34,27.75,23.01,10.14,7.29
81.25,-37.5,4.83,3.72,4.98,7.47,11.85,23.4,28.62,25.83,20.46,18.09,7.8,5.58
81.25,-33.75,4.92,3.66,5.25,8.49,14.01,24.96,30,28.95,22.32,19.02,8.61,5.88
81.25,-30,6.27,4.71,6.84,11.4,17.04,26.76,31.92,38.28,30.6,23.88,11.52,7.62
81.25,-26.25,7.8,6,8.28,13.74,21.06,30.33,37.29,41.55,33.9,27.45,13.41,9.12
81.25,-22.5,7.65,5.97,7.86,12.57,19.86,34.83,47.52,37.86,27.96,24.93,11.7,8.34
81.25,-18.75,7.68,6.12,7.98,11.88,18.24,24.87,33.69,33.87,25.41,24.27,11.73,8.49
81.25,-15,8.49,6.96,9.24,13.8,18.9,22.2,32.1,37.8,29.67,27.33,13.98,9.99
78.75,7.5,10.35,9.45,12.66,17.97,19.32,18.09,21.99,29.88,28.35,32.52,17.76,11.82
78.75,11.25,8.52,7.53,10.11,15.15,18.21,21.54,26.13,30.18,26.82,25.95,15.15,9.93
78.75,15,8.31,7.41,9.72,14.67,18.78,22.59,26.4,31.59,27.27,25.26,14.7,9.69
