lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
81.25,11.25,-42.825,-44.854,-40.621,-23.983,-5.253,3.011,4.097,1.595,-4.891,-19.524,-33.225,-39.358
81.25,15,-42.25,-44.196,-40.084,-23.91,-5.512,3.032,4.084,1.604,-4.746,-18.765,-32.607,-38.761
81.25,18.75,-41.337,-43.2,-38.998,-23.301,-5.392,2.787,3.843,1.59,-4.472,-17.597,-31.946,-38.089
81.25,22.5,-40.939,-42.764,-38.507,-22.902,-5.101,2.669,3.798,1.621,-4.261,-17.153,-31.776,-37.888
81.25,26.25,-40.873,-42.725,-38.445,-22.672,-4.763,2.592,3.883,1.651,-4.27,-17.235,-31.956,-38.001
81.25,30,-40.94,-42.832,-38.575,-22.635,-4.633,2.635,4.14,1.754,-4.415,-17.621,-32.33,-38.265
81.25,33.75,-41.09,-42.989,-38.797,-22.863,-4.831,2.78,4.392,1.863,-4.572,-18.304,-32.776,-38.609
81.25,37.5,-41.263,-43.14,-39.044,-23.169,-5.089,2.897,4.513,1.94,-4.672,-18.891,-33.168,-38.953
81.25,41.25,-41.358,-43.194,-39.187,-23.273,-5.047,2.908,4.45,1.973,-4.696,-18.891,-33.374,-39.162
81.25,45,-41.372,-43.139,-39.203,-23.156,-4.813,2.846,4.33,2.019,-4.659,-18.71,-33.429,-39.223
81.25,48.75,-41.483,-43.13,-39.239,-23.175,-4.82,2.653,4.169,2.031,-4.683,-19.172,-33.581,-39.343
81.25,52.5,-41.673,-43.164,-39.307,-23.519,-5.199,2.563,4.044,2.047,-4.786,-19.998,-33.908,-39.593
81.25,56.25,-41.754,-43.119,-39.295,-23.792,-5.435,2.557,3.993,1.978,-4.888,-20.202,-34.152,-39.77
81.25,60,-41.805,-43.127,-39.328,-23.76,-5.125,2.46,3.883,1.777,-4.973,-20.073,-34.253,-39.872
81.25,63.75,-42.093,-43.427,-39.622,-23.573,-4.565,2.442,3.809,1.593,-5.147,-20.669,-34.428,-40.106
81.25,67.5,-42.375,-43.596,-39.778,-23.527,-4.381,2.555,3.793,1.463,-5.437,-21.496,-34.625,-40.339
81.25,71.25,-42.932,-43.927,-40.042,-24.103,-4.834,2.86,3.941,1.375,-6.015,-22.229,-35.217,-40.927
81.25,75,-43.539,-44.291,-40.318,-24.851,-5.674,3.119,4.102,1.374,-6.342,-22.262,-35.878,-41.598
81.25,78.75,-43.845,-44.438,-40.427,-25.123,-5.902,3.166,4.05,1.362,-5.854,-21.587,-36.146,-41.919
81.25,82.5,-43.819,-44.346,-40.393,-24.971,-5.511,3.023,3.791,1.366,-5.133,-20.712,-35.993,-41.834
81.25,86.25,-43.66,-44.19,-40.314,-24.607,-4.966,2.75,3.463,1.393,-4.957,-20.495,-35.734,-41.602
81.25,90,-43.596,-44.209,-40.362,-24.434,-4.693,2.665,3.302,1.322,-5.198,-20.978,-35.674,-41.491
81.25,93.75,-43.556,-44.321,-40.382,-24.539,-4.918,2.561,3.169,1.136,-5.502,-21.809,-35.835,-41.482
81.25,97.5,-43.178,-44.035,-40.164,-24.749,-5.336,2.125,2.605,0.799,-5.5,-21.504,-35.737,-41.218
81.25,-82.5,-46.152,-48.064,-44.352,-28.397,-7.08,2.684,3.417,0.69,-8.609,-25.783,-36.657,-42.415
81.25,-78.75,-46.323,-48.139,-44.345,-28.75,-7.435,2.285,3.575,0.654,-8.64,-25.748,-36.538,-42.376
81.25,-75,-46.194,-48.19,-44.341,-28.952,-7.597,1.6,3.169,0.399,-8.393,-25.291,-36.397,-42.261
81.25,-71.25,-45.891,-48.114,-44.222,-28.778,-7.459,1.181,3.226,0.499,-7.976,-24.618,-36.173,-42.037
81.25,-67.5,-45.744,-47.997,-44.066,-28.483,-7.244,1.029,3.34,0.663,-7.373,-23.658,-36.098,-41.907
81.25,-63.75,-45.274,-47.56,-43.654,-27.841,-6.738,1.095,2.651,0.53,-6.609,-22.54,-35.63,-41.475
81.25,-52.5,-46.05,-48.477,-44.382,-27.474,-6.473,2.703,4.263,1.473,-6.322,-22.243,-35.538,-41.852
81.25,-48.75,-46.838,-48.967,-44.646,-27.702,-6.839,3.014,4.725,1.59,-7.376,-22.868,-36.116,-42.532
81.25,-45,-46.159,-48.271,-43.877,-27.171,-6.981,2.085,4.494,1.347,-7.771,-22.509,-35.507,-41.802
81.25,-41.25,-45.235,-47.526,-43.181,-26.692,-6.73,2.467,4.75,1.669,-7.134,-21.789,-34.831,-40.914
81.25,-37.5,-43.918,-46.525,-42.665,-26.519,-6.355,4.287,5.92,2.791,-5.403,-20.353,-33.688,-39.563
81.25,-33.75,-43.528,-46.292,-42.48,-26.251,-6.356,3.498,5.613,2.658,-4.91,-19.511,-33.302,-39.175
81.25,-30,-44.901,-47.277,-43.23,-27.919,-9.328,-2.376,-1.604,-3.43,-11.255,-21.299,-34.876,-40.663
81.25,-26.25,-44.595,-46.811,-42.814,-27.736,-8.875,-1.899,-1.018,-3.129,-11.069,-20.785,-34.553,-40.482
81.25,-22.5,-43.66,-46.154,-42.031,-25.793,-6.273,2.15,4.645,1.421,-7.346,-20.236,-34.014,-39.939
81.25,-18.75,-42.209,-44.815,-40.967,-25.088,-5.651,2.02,3.77,1.582,-5.468,-19.464,-32.898,-38.751
81.25,-15,-41.973,-44.493,-40.655,-24.603,-5.339,2.686,3.8,1.514,-5.317,-19.513,-32.793,-38.438
78.75,7.5,-40.567,-42.433,-36.691,-20.372,-4.1,2.893,4.987,2.647,-3.017,-15.081,-29.768,-36.986
78.75,11.25,-46.245,-48.455,-42.583,-23.914,-5.506,7.258,9.752,3.469,-6.369,-23.684,-35.268,-42.106
78.75,15,-44.769,-46.798,-41.174,-23.346,-5.465,6.952,9.433,3.345,-6.085,-21.948,-33.938,-40.79
78.75,18.75,-43.769,-45.82,-40.174,-22.726,-5.304,6.935,9.525,3.516,-5.841,-21.154,-33.5,-40.194
78.75,22.5,-43.292,-45.407,-39.783,-22.389,-5.119,7.102,9.808,3.725,-5.666,-20.768,-33.41,-40.022
78.75,26.25,-43.256,-45.451,-39.865,-22.345,-5.024,7.202,10.089,3.856,-5.683,-20.913,-33.693,-40.266
78.75,30,-43.527,-45.768,-40.227,-22.542,-5.079,7.318,10.55,4.038,-5.946,-21.822,-34.392,-40.8
78.75,33.75,-43.817,-46.019,-40.55,-22.799,-5.184,7.564,10.97,4.234,-6.242,-22.833,-35.051,-41.306
