"","lat","lon","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","-2700","-5400",0,0,0,0,0,0,0,0,0,0,0,0
"2","-2625","-5400",3,5.4,5.7,5.1,6.9,5.4,3.9,2.1,2.1,3.6,4.8,4.5
"3","-2550","-5400",7.5,12,11.4,9.6,15.3,11.1,9,4.5,4.5,8.1,11.1,7.5
"4","-2475","-5400",8.7,9.3,12,8.4,12.6,10.5,9.3,3.9,5.1,8.7,11.7,5.1
"5","-2400","-5400",13.2,16.8,17.4,14.4,14.1,13.2,11.1,5.7,8.7,11.1,14.4,8.7
"6","2025","-5400",42.3,31.8,37.2,29.7,30.3,46.2,60,94.8,66.9,36.9,34.2,31.8
"7","2100","-5400",30,24.9,28.5,28.5,25.8,39,47.7,69.6,65.1,58.8,51.9,34.2
"8","2175","-5400",22.2,19.2,20.1,18.6,12.9,14.7,30,47.7,44.4,39.9,33.9,23.1
"9","-2700","-5287.5",0,0,0,0,0,0,0,0,0,0,0,0
"10","-2625","-5287.5",2.1,4.2,4.5,3.9,6,4.5,3.3,1.8,1.8,3,3.9,3.6
"11","-2550","-5287.5",6.6,10.5,10.2,7.8,13.2,9.6,8.1,3.9,3.9,7.2,9.6,6.3
"12","-2475","-5287.5",8.1,8.4,11.1,7.8,11.7,10.2,8.7,3.9,5.1,8.4,11.1,4.8
"13","-2400","-5287.5",15,18,18.9,15.3,15.3,15,12.3,6.3,9.6,12.6,15.9,9.6
"14","1650","-5287.5",69.9,63.3,70.8,77.1,64.8,68.4,83.7,100.8,104.7,86.7,72,63.3
"15","2025","-5287.5",48.3,36.3,41.4,36.3,37.5,54,64.8,102.9,81,50.7,42.9,37.2
"16","2100","-5287.5",31.8,26.7,30.6,30.6,22.2,25.8,33,59.7,66.9,66,60.3,44.1
"17","-2700","-5175",0,0,0,0,0,0,0,0,0,0,0,0
"18","-2625","-5175",2.1,3.9,4.2,3.9,6,4.8,3.3,2.1,1.8,3,3.9,3.3
"19","-2550","-5175",5.7,9.3,9,6.9,12,9,7.5,3.6,3.6,6.9,8.7,5.7
"20","-2475","-5175",7.8,7.5,10.2,6.6,10.5,9.6,8.1,3.9,5.1,8.1,10.5,5.1
"21","-2400","-5175",16.5,19.2,20.7,16.2,16.8,16.8,13.8,7.2,10.2,15,17.4,10.5
"22","2025","-5175",54.9,42.3,48.9,50.7,46.5,63.3,64.5,96.6,92.4,76.5,63,50.1
"23","2100","-5175",33.6,28.5,31.2,31.2,21,26.4,35.1,56.7,63.3,60.9,53.7,44.1
"24","-2700","-5062.5",0,0,0,0,0,0,0,0,0,0,0,0
"25","-2625","-5062.5",3,4.8,5.1,4.8,6.9,5.4,3.9,2.4,2.1,3.6,4.5,4.2
"26","-2550","-5062.5",6.3,9.9,10.2,7.5,12.6,9.9,8.1,3.9,4.2,7.8,9.3,6
"27","-2475","-5062.5",7.8,6.9,8.7,5.4,9,8.4,6.9,3.6,4.5,7.5,9.9,5.4
"28","-2400","-5062.5",17.7,20.1,22.2,17.1,18.9,18.9,15.3,8.4,11.7,17.7,19.2,11.4
"29","1950","-5062.5",54.3,45,50.1,38.1,27.9,33,49.5,88.2,79.5,53.1,48,43.5
"30","2025","-5062.5",45.6,37.8,42,43.2,34.5,49.5,48,72.9,73.5,69.3,58.8,45.6
"31","2100","-5062.5",34.2,29.4,30.9,31.5,20.7,31.8,44.4,61.5,58.5,53.4,45.3,39.3
"32","-2700","-4950",0,0,0,0,0,0,0,0,0,0,0,0
"33","-2625","-4950",2.7,4.5,4.8,4.2,6.6,5.1,3.6,2.4,2.1,3.3,4.2,3.9
"34","-2550","-4950",4.8,7.8,7.8,6,10.5,8.4,6.9,3.3,3.3,6.6,7.8,4.8
"35","-2475","-4950",7.2,6.3,7.8,4.8,7.8,7.5,6.3,3.3,4.2,7.2,9,5.4
"36","-2400","-4950",17.1,19.5,22.5,17.7,20.1,20.4,16.5,9.6,12.6,19.5,19.8,11.1
"37","1950","-4950",45.9,39.6,43.8,30.9,24.3,26.4,36.6,65.1,66.6,49.5,46.2,40.5
"38","2025","-4950",40.5,35.4,37.5,33.9,28.5,47.1,47.7,69,63.6,59.1,51.6,42.3
"39","2100","-4950",32.1,27.6,27.9,28.2,18.3,32.4,47.1,62.1,53.4,45,37.5,32.4
"40","-2700","-4837.5",0,0,0,0,0,0,0,0,0,0,0,0
"41","-2625","-4837.5",2.7,4.2,4.8,4.5,6.6,5.1,3.9,2.4,2.1,3.6,4.2,3.9
"42","-2550","-4837.5",3.6,5.4,5.7,4.2,7.8,6.6,5.4,2.7,2.4,5.1,6,3.9
"43","-2475","-4837.5",10.2,10.2,10.5,7.2,10.2,10.2,8.4,4.8,5.7,9.9,12.3,7.8
"44","-2400","-4837.5",18.6,21.6,24.3,18.9,22.2,22.5,18,11.1,14.1,22.8,23.1,12.9
"45","1950","-4837.5",59.1,52.8,57.9,43.8,43.8,54,64.8,95.1,95.1,74.4,66.9,57
"46","2025","-4837.5",37.2,32.7,34.8,28.8,27.6,47.1,54.9,78,64.2,51.3,42.9,36.3
"47","2100","-4837.5",27.6,23.4,22.8,23.4,15.6,31.8,46.2,58.8,48.3,37.5,30.6,26.4
"48","-2700","-4725",0,0,0,0,0,0,0,0,0,0,0,0
"49","-2625","-4725",3.6,5.4,5.4,4.8,6.9,5.4,4.2,2.7,2.4,3.9,4.8,4.8
"50","-2550","-4725",3.3,5.1,5.4,4.2,7.5,6.6,5.4,2.7,2.4,4.8,5.7,3.6
"51","-2475","-4725",13.2,12.9,12.3,9,11.7,11.7,9.6,6,7.2,11.7,14.7,10.2
"52","-2400","-4725",18.9,22.8,27,21,24,24.3,19.5,12.3,15.6,25.2,24.9,13.5
"53","1950","-4725",52.5,46.8,49.5,37.2,45,67.5,72.6,94.5,96,69.3,59.7,52.2
"54","2025","-4725",38.7,33.9,36.3,31.2,35.4,62.4,71.4,92.4,78,55.8,45,37.5
"55","2100","-4725",29.1,24.6,25.2,27.6,18.3,38.1,54,66.6,60.6,45.9,37.5,30
"56","-2700","-4612.5",0,0,0,0,0,0,0,0,0,0,0,0
"57","-2625","-4612.5",3.9,5.4,5.7,5.4,7.5,6,4.5,3,2.7,4.2,4.8,4.8
"58","-2550","-4612.5",3,4.5,4.5,3.9,6.6,6,5.1,2.4,2.1,4.2,5.1,3.3
"59","-2475","-4612.5",10.2,10.2,9.6,7.5,9.9,9.9,8.1,5.1,5.7,9.9,11.7,8.4
"60","-2400","-4612.5",18.6,19.5,22.8,18,22.5,23.4,18.9,12.3,15.3,24.6,23.7,13.5
"61","-2325","-4612.5",30,36.6,42.6,35.1,39.3,39.3,32.1,24,30.6,39.9,34.8,21.9
"62","1725","-4612.5",115.5,102.9,96.9,95.4,97.2,70.2,63.6,90.9,149.1,146.4,132,113.7
"63","1800","-4612.5",63.9,57,50.1,42,45.3,46.5,53.7,80.1,107.4,87,76.2,66.6
"64","1875","-4612.5",61.8,55.5,53.7,42.6,51.6,63.3,72.9,109.8,127.5,88.2,74.7,63.9
"65","1950","-4612.5",39.9,34.5,35.7,25.8,34.5,58.5,59.4,73.2,79.5,54,45,39
"66","2025","-4612.5",38.7,34.5,36,32.1,39.9,73.5,76.5,86.1,83.4,59.7,50.7,40.8
"67","2100","-4612.5",29.4,24.6,25.8,30,21.3,42.6,56.1,68.4,69,51.6,42,32.4
"68","-2700","-4500",0,0,0,0,0,0,0,0,0,0,0,0
"69","-2625","-4500",4.8,6.3,6,5.1,7.2,5.7,4.5,3,2.7,3.9,5.1,5.4
"70","-2550","-4500",3.3,4.8,5.1,4.5,7.2,6.6,5.4,2.7,2.4,4.8,5.7,3.9
"71","-2475","-4500",7.2,7.2,7.2,5.7,6.9,7.2,6,3.9,4.2,6.9,8.1,6.3
"72","-2400","-4500",22.2,24.3,26.4,20.7,24.3,24.9,20.1,13.8,18,27,27.3,16.8
"73","-2325","-4500",30.9,38.4,47.7,41.4,44.1,43.5,35.7,25.8,34.5,45.3,37.5,23.4
"74","1725","-4500",131.7,113.4,99,98.1,93.6,53.1,42,54.6,120.9,144.3,140.1,135.9
"75","1800","-4500",104.4,91.2,79.5,71.4,67.8,55.2,54.9,71.7,122.4,132,122.1,117.6
"76","1875","-4500",66.6,59.1,56.1,45.9,48.6,62.1,60.6,81,107.1,95.1,84.3,75.6
"77","1950","-4500",48.9,42.9,43.2,33.3,42,73.2,80.4,86.1,93.9,69.9,62.7,51.6
"78","2025","-4500",37.5,33.6,33.3,29.4,35.4,66.9,68.1,73.2,79.8,57.6,53.4,42
"79","2100","-4500",28.8,24.3,25.2,28.2,22.2,45.9,57,61.8,66.6,47.7,40.5,31.8
"80","-2700","-4387.5",0,0,0,0,0,0,0,0,0,0,0,0
"81","-2625","-4387.5",4.2,5.7,6.3,5.7,7.5,6.3,4.8,3.3,3,4.5,4.8,5.1
"82","-2550","-4387.5",4.8,6.3,6.3,5.7,8.1,7.2,6.3,3.3,2.7,5.1,6.6,5.1
"83","-2475","-4387.5",5.4,5.7,5.7,4.8,5.7,6,5.1,3.6,3.6,5.7,6.3,5.1
"84","-2400","-4387.5",15.9,17.4,19.8,15.6,17.7,18.6,15,10.8,14.1,20.1,19.8,12.3
"85","-2325","-4387.5",28.8,40.5,53.7,48.6,48.6,46.5,37.8,25.5,35.4,47.7,38.4,23.1
