lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
-90,-180,-20.16,-30.51,-43.45,-49.93,-50.72,-52.64,-53.52,-53.29,-53.37,-43.96,-30.06,-20.22
-87.5,-180,-18.47,-26.75,-37.54,-42.12,-43.96,-45.96,-47.31,-48.64,-48.16,-39.5,-26.75,-18.15
-85,-180,-5.82,-14.63,-25.01,-28.49,-30.36,-32.74,-34.04,-36.38,-36.25,-27.48,-14.71,-6.42
-82.5,-180,-4.26,-13.86,-27.49,-35.02,-38.93,-41.79,-43.55,-47.65,-44.67,-30.77,-13.52,-4.63
-80,-180,-4.89,-15.79,-31.82,-36.92,-39.94,-42.58,-44.34,-47.88,-44.61,-31.65,-14.26,-5.13
67.5,-180,-25.32,-26.78,-20.2,-9.74,2.35,12.55,13.11,10.19,1.48,-9.67,-19.56,-25.6
70,-180,-31.3,-29.89,-21.98,-10.26,2.75,15.22,16.44,11.68,1.45,-8.2,-17.09,-28.23
72.5,-180,-32.64,-33.04,-25.13,-12.1,3.53,15.86,17.98,12.07,1.67,-8.55,-19.05,-30.53
-90,-176.25,-20.16,-30.51,-43.45,-49.93,-50.72,-52.64,-53.52,-53.29,-53.37,-43.96,-30.06,-20.22
-87.5,-176.25,-18.44,-27.07,-37.85,-42.15,-43.81,-45.78,-47.1,-48.19,-47.72,-39.34,-26.79,-18.13
-85,-176.25,-5.17,-14.04,-24.75,-28.43,-30.51,-32.88,-34.22,-36.75,-36.57,-27.22,-14,-5.72
-82.5,-176.25,-4.48,-14.1,-28.25,-35.87,-39.64,-42.38,-44.22,-48.12,-45.07,-31.17,-13.6,-4.76
-80,-176.25,-4.72,-14.87,-30.93,-36.44,-39.15,-41.62,-43.44,-47.19,-43.95,-30.89,-13.67,-4.92
55,-176.25,-7.63,-5.95,-2.28,1.56,5.31,9.24,13.19,13,8.59,2.83,-2.29,-7.93
67.5,-176.25,-26.13,-26.86,-19.85,-9.57,1.64,12.14,12.31,9.71,1.79,-8.92,-18.63,-26.34
70,-176.25,-29.9,-29.49,-21.71,-10.29,3.02,15.17,16.77,12.15,2.45,-5.86,-13.4,-23.99
-90,-172.5,-20.16,-30.51,-43.45,-49.93,-50.72,-52.64,-53.52,-53.29,-53.37,-43.96,-30.06,-20.22
-87.5,-172.5,-18.35,-27.19,-38.01,-42.2,-43.76,-45.74,-47.03,-47.99,-47.48,-39.31,-26.85,-18.16
-85,-172.5,-5.13,-14.07,-25.05,-28.8,-30.94,-33.31,-34.58,-37.33,-37.09,-27.45,-13.9,-5.62
-82.5,-172.5,-4.55,-14.2,-28.56,-36.14,-39.56,-42.16,-43.95,-47.6,-44.65,-31.07,-13.58,-4.81
-80,-172.5,-4.46,-13.71,-29.02,-35.35,-37.99,-40.44,-42.33,-46.15,-42.9,-29.92,-13.01,-4.62
67.5,-172.5,-25.13,-25.78,-17.81,-7.58,3.66,13.89,14.61,11.22,2.9,-6.4,-14.63,-23.19
70,-172.5,-27.18,-28.29,-20.39,-9.2,4.59,16.27,18.12,13.16,3.31,-5.05,-12.62,-21.17
-90,-168.75,-20.16,-30.51,-43.45,-49.93,-50.72,-52.64,-53.52,-53.29,-53.37,-43.96,-30.06,-20.22
-87.5,-168.75,-18.01,-26.9,-37.85,-42.2,-43.73,-45.83,-47.08,-48.01,-47.47,-39.38,-26.88,-18.11
-85,-168.75,-5.57,-14.48,-25.51,-28.98,-31.12,-33.5,-34.79,-37.64,-37.4,-27.86,-14.25,-5.97
-82.5,-168.75,-4.55,-14.06,-28.2,-35.51,-38.56,-41.03,-42.71,-46.08,-43.36,-30.41,-13.4,-4.78
-80,-168.75,-4.15,-12.36,-26.51,-33.42,-36.27,-38.86,-40.82,-44.61,-41.35,-28.53,-12.13,-4.26
65,-168.75,-22.78,-21.42,-13.45,-4.61,8.15,13.69,13.41,11.63,5.14,-3.93,-15.09,-25.73
67.5,-168.75,-23.71,-24.74,-16.63,-6.57,6.68,15.85,16.52,12.65,4.03,-4.78,-12.62,-21.16
70,-168.75,-26.43,-27.65,-19.62,-8.65,5.98,17.32,19.08,13.76,3.76,-4.9,-13.52,-21.98
-90,-165,-20.16,-30.51,-43.45,-49.93,-50.72,-52.64,-53.52,-53.29,-53.37,-43.96,-30.06,-20.22
-87.5,-165,-17.55,-26.54,-37.41,-41.72,-43.13,-45.22,-46.45,-47.2,-46.69,-38.92,-26.58,-17.76
-85,-165,-5.57,-14.72,-26.09,-29.77,-31.69,-34.14,-35.38,-38.21,-37.99,-28.22,-14.35,-5.88
-82.5,-165,-4.67,-14.13,-27.54,-34.24,-36.76,-39.01,-40.65,-43.87,-41.53,-29.43,-13.39,-4.94
-80,-165,-3.95,-11.12,-23.3,-30.28,-33.64,-36.45,-38.57,-42.14,-38.93,-26.72,-11.32,-3.98
65,-165,-20.01,-19.97,-12.01,-2.87,9.53,15.21,15.39,12.67,5.9,-2.32,-10.69,-19.49
67.5,-165,-22.05,-23.36,-15.24,-5.48,9.08,17.08,17.79,13.59,5.05,-3.31,-10.8,-18.91
70,-165,-26.16,-27.26,-19.13,-8.35,7.16,17.43,19.17,13.87,3.97,-4.75,-13.99,-22.85
-90,-161.25,-20.16,-30.51,-43.45,-49.93,-50.72,-52.64,-53.52,-53.29,-53.37,-43.96,-30.06,-20.22
-87.5,-161.25,-17.07,-26.07,-36.63,-40.78,-42.12,-44.18,-45.35,-45.99,-45.59,-38.2,-26.15,-17.34
-85,-161.25,-5.84,-15.06,-26.69,-30.63,-32.74,-35.2,-36.55,-39.41,-39.21,-28.93,-14.67,-6.04
-82.5,-161.25,-5.15,-13.88,-25.98,-32.27,-34.8,-36.89,-38.6,-42.01,-40.03,-28.53,-13.7,-5.4
-80,-161.25,-3.78,-9.78,-19.94,-26.32,-30,-33.17,-35.26,-38.64,-35.62,-24.26,-10.46,-3.8
65,-161.25,-17.99,-18.15,-10.24,-1.95,9.38,15.38,15.96,12.63,6.1,-1.42,-9.07,-16.94
67.5,-161.25,-20.59,-21.97,-14.06,-4.48,9.59,16.91,17.54,13.25,5.11,-2.91,-10.8,-18.37
70,-161.25,-24.97,-26.09,-18.04,-7.53,8.27,17.26,18.97,13.81,4.1,-4.6,-13.59,-22.48
-90,-157.5,-20.16,-30.51,-43.45,-49.93,-50.72,-52.64,-53.52,-53.29,-53.37,-43.96,-30.06,-20.22
-87.5,-157.5,-16.44,-25.57,-36.09,-40.3,-41.58,-43.59,-44.71,-45.3,-45,-37.85,-25.82,-16.87
-85,-157.5,-6.8,-16.18,-27.75,-31.38,-33.31,-35.73,-37.22,-39.92,-40.02,-29.94,-15.71,-6.99
-82.5,-157.5,-6.12,-14.51,-25.76,-31.65,-33.99,-36.14,-37.78,-41.29,-39.65,-28.46,-14.64,-6.61
-80,-157.5,-4.12,-9.56,-18.11,-23.54,-27.47,-30.96,-32.9,-36.17,-33.4,-22.91,-10.46,-4.17
65,-157.5,-17.23,-17.16,-9.48,-0.61,10.06,16.02,16.82,13.17,6.5,-1.1,-8.89,-16.55
67.5,-157.5,-20.09,-21.11,-13.2,-4.44,8.88,16.15,16.73,12.55,4.62,-3.4,-11.77,-18.81
70,-157.5,-24.74,-25.83,-17.64,-7.47,7.51,16.46,18.19,13.26,3.75,-4.81,-13.99,-22.62
-90,-153.75,-20.16,-30.51,-43.45,-49.93,-50.72,-52.64,-53.52,-53.29,-53.37,-43.96,-30.06,-20.22
-87.5,-153.75,-16.03,-25.2,-35.42,-39.5,-40.84,-42.83,-43.97,-44.56,-44.21,-37.32,-25.44,-16.55
-85,-153.75,-8.08,-17.74,-29.33,-32.78,-34.47,-36.88,-38.21,-40.73,-41.09,-31.32,-17.23,-8.25
-82.5,-153.75,-7.64,-16.39,-27.67,-32.9,-34.79,-36.89,-38.41,-41.78,-40.53,-29.58,-16.29,-8.23
-80,-153.75,-5.31,-12.04,-20.23,-24.55,-27.5,-30.3,-31.89,-35.35,-32.76,-22.99,-12.55,-5.84
-77.5,-153.75,-4.25,-11.93,-23.57,-29.8,-28.01,-29.09,-32.14,-36.07,-32.37,-21.7,-11.27,-4.62
57.5,-153.75,-9.58,-9.45,-3.73,1.61,6.73,11.63,14.98,13.52,8.83,2.61,-2.64,-8.89
60,-153.75,-11.02,-10.57,-4.04,2.55,8.75,13.48,15.29,13.48,8.69,2.1,-3.77,-10.18
62.5,-153.75,-16.51,-15.41,-7.27,1.1,9.35,14.45,15.67,13,7.43,0.01,-7.52,-15.42
65,-153.75,-17.22,-17.31,-9.62,-0.11,10.3,16.37,17.38,13.43,6.4,-1.04,-8.52,-15.65
67.5,-153.75,-20.56,-21.8,-14.11,-5.49,8.2,15.9,16.49,12.16,4.04,-4.08,-12.24,-18.59
