lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
83.75,116.25,29.46,29.25,21.09,27.09,37.47,44.97,33.18,52.11,59.37,53.04,40.05,35.22
83.75,120,30.06,29.61,20.79,27.51,40.32,47.43,36.72,54.63,60.39,53.01,40.83,35.4
83.75,123.75,29.79,29.1,20.25,26.73,40.32,42.39,32.82,53.25,59.73,51.9,40.47,34.56
83.75,127.5,30.33,29.7,20.49,27.54,41.31,41.76,33.72,56.85,62.1,53.1,41.49,35.04
83.75,131.25,30.54,30.21,20.73,28.14,42,41.64,34.02,59.49,63.09,53.46,41.85,35.07
83.75,135,29.4,29.04,19.41,25.8,40.29,37.29,29.76,56.61,60.45,49.98,40.38,33.75
83.75,138.75,28.32,28.32,18.69,24.54,39.03,36.81,28.02,54.87,58.5,47.79,38.28,32.28
83.75,142.5,28.71,28.65,18.96,25.02,39.93,38.94,27.87,55.11,59.25,47.94,38.01,32.64
83.75,146.25,28.26,28.23,18.78,24.33,37.23,32.46,21.99,49.29,57.51,45.54,36.09,31.5
81.25,37.5,31.26,32.04,27.72,33.51,35.85,38.28,35.82,55.77,68.22,60.72,43.8,37.14
81.25,60,31.02,33.66,26.25,31.26,31.44,34.29,30.93,44.43,60.81,60.87,45.12,37.89
81.25,63.75,30.69,33.21,26.82,33.36,36.75,43.77,40.77,52.71,63.99,63.06,47.28,38.55
81.25,67.5,31.2,33.15,27.48,35.28,42.57,51.33,48.33,59.73,68.1,64.2,47.31,38.7
81.25,71.25,29.7,30.6,25.08,32.61,41.01,48.96,44.55,59.13,67.44,61.2,45.54,38.04
81.25,75,25.5,26.31,21.33,28.23,36.6,43.65,36.06,51.81,61.74,54.63,39.48,33.45
81.25,78.75,25.2,25.47,20.01,26.43,35.52,34.71,29.76,47.1,60.45,52.8,37.2,33.06
81.25,105,27.18,26.58,19.56,27.93,35.61,45.99,31.92,51.96,61.77,53.73,39.78,35.61
81.25,108.75,27.75,26.97,18.84,27.15,34.23,43.35,28.68,52.08,61.56,52.5,40.5,36.48
81.25,116.25,28.17,25.08,18.84,30.18,37.26,54.42,40.08,64.83,66.96,52.26,41.25,37.41
81.25,120,22.11,21.39,16.11,26.67,38.22,64.02,48.81,58.8,60.81,47.22,36.24,30.39
81.25,123.75,26.34,24.87,17.7,29.76,40.59,53.16,43.44,60.66,67.59,51.12,40.14,34.26
81.25,127.5,26.01,24.81,17.16,28.71,40.26,48.21,41.25,59.01,66.18,50.76,39.63,33.06
81.25,131.25,31.02,29.4,20.49,33.69,44.58,47.55,42.03,66.3,74.79,58.98,47.34,38.88
81.25,135,25.98,24.48,15.33,24.36,38.28,36.33,29.19,54.15,59.37,46.02,37.56,31.86
81.25,138.75,26.67,27.15,15.93,24.42,38.22,36.36,28.05,53.88,59.64,46.77,38.1,32.82
81.25,142.5,27.57,27.75,17.01,25.2,39.27,38.73,27.72,55.59,59.7,48.96,39.15,33.6
81.25,146.25,27.39,26.7,16.95,24.24,36.03,31.38,20.01,47.67,57.24,46.44,36.45,32.88
81.25,165,33.51,30.66,19.44,26.16,35.91,31.68,25.83,47.67,61.41,53.52,41.91,36
81.25,168.75,33.21,30.51,18.84,25.56,34.77,33.09,28.56,47.37,61.44,53.55,43.5,36
81.25,172.5,32.85,30.66,18.87,25.47,33.12,30.51,28.68,46.74,61.41,52.8,43.92,36.03
81.25,176.25,32.85,31.38,19.62,25.95,33.84,32.19,32.01,49.23,63.15,53.64,45.18,36.87
81.25,180,31.95,31.71,19.68,25.47,32.43,32.7,32.73,47.58,63.09,52.86,44.79,36.6
81.25,-176.25,31.53,32.16,19.53,25.35,32.67,33.93,33.21,47.19,63.27,52.83,44.7,36.63
81.25,-172.5,32.76,34.02,20.76,26.16,31.11,27.69,26.85,45.66,64.98,54.84,45.96,38.64
81.25,-161.25,34.29,35.88,22.38,27.03,30.33,23.94,23.31,45.39,67.32,58.38,45.54,40.95
81.25,-157.5,32.1,33.18,20.67,25.59,29.25,26.43,27.03,43.53,63.06,55.62,42.87,38.85
81.25,-153.75,33.12,33.69,22.47,26.88,28.53,24.87,28.17,44.55,64.8,58.47,44.46,41.07
81.25,-150,32.85,33.21,22.68,26.34,27.66,25.74,30.57,45.42,63.78,58.65,44.46,41.25
81.25,-146.25,30.78,31.23,22.02,24.75,24.66,24.54,27.87,39.18,59.91,56.31,42.36,39.57
81.25,-142.5,29.67,30.51,22.29,24.03,21.81,20.85,23.4,36.09,58.44,55.77,41.28,39.03
81.25,-78.75,26.28,19.95,17.73,25.02,24.75,22.17,24.3,39.54,57.57,54.99,37.65,34.71
81.25,-75,26.13,19.74,17.43,25.32,26.28,25.08,27.99,43.62,57.9,54.93,36.9,34.05
81.25,-71.25,25.38,19.26,16.53,24.36,25.05,25.65,29.22,44.76,56.19,53.22,35.52,32.46
81.25,-67.5,25.05,19.05,16.08,23.31,24.36,26.52,30.54,46.62,54.84,51.78,34.59,31.2
81.25,-63.75,25.53,19.71,16.62,23.16,25.17,28.56,32.55,49.8,55.41,52.26,35.28,30.99
81.25,-60,26.25,20.25,17.4,23.28,25.32,30.57,33.54,51.12,55.83,52.59,36.12,30.96
81.25,-56.25,26.4,20.58,18.27,23.52,25.68,32.7,34.68,52.47,56.88,52.23,36.84,30.87
81.25,-52.5,26.49,20.85,18.87,23.49,25.92,32.61,33.6,51.93,57.6,51.03,36.99,30.75
81.25,-48.75,27.3,21.36,19.11,23.1,25.41,31.11,32.46,51.42,57.87,49.77,36.99,31.14
81.25,-45,29.64,23.19,20.43,23.28,24.15,27.27,28.38,50.97,60.27,51.42,39.24,33.12
81.25,-30,30.33,25.29,22.17,22.86,28.92,30.33,30.69,55.71,63.33,56.43,41.46,37.68
81.25,-26.25,31.08,25.89,23.79,24.06,31.71,33.39,35.25,58.83,66.15,60.6,43.77,39.36
81.25,-22.5,28.65,23.64,22.5,22.74,30.3,30.51,33.27,55.41,60.33,56.97,40.11,36.12
81.25,-18.75,29.28,23.82,23.07,23.28,30.06,30.12,32.79,55.17,59.85,57.51,40.26,36.18
81.25,-15,29.58,23.91,23.94,23.28,29.01,29.94,32.46,55.74,58.26,56.37,39.33,35.28
78.75,15,34.2,33.18,31.05,30.75,29.64,42.63,40.59,63.39,64.08,63.36,43.83,37.68
78.75,18.75,35.4,34.5,31.41,30.66,30.3,39.06,37.71,60.69,65.37,64.26,44.82,37.53
78.75,22.5,33,32.7,29.43,29.76,30.78,35.88,35.94,56.28,64.59,61.41,41.82,34.32
78.75,26.25,32.4,32.19,28.5,29.94,32.58,34.89,36,56.55,65.37,60.81,41.43,33.36
78.75,30,35.88,34.68,30.39,33.3,39.75,44.16,47.97,68.88,73.38,66.84,47.01,37.65
78.75,33.75,34.59,32.94,27.72,31.92,39.09,44.16,47.55,68.64,71.61,61.77,44.13,36.33
78.75,37.5,41.85,37.62,33.12,42.21,47.67,66.39,69.87,83.55,87.15,75,55.14,46.05
78.75,41.25,33.72,31.41,25.14,30.15,30.63,31.14,30.93,53.88,65.19,56.7,42.45,36.72
78.75,60,33.57,35.79,29.82,35.88,33.3,37.5,39.3,50.43,62.79,69.51,50.79,41.34
78.75,63.75,32.22,31.83,29.4,37.14,37.86,45.3,46.2,54.39,65.61,71.22,51.69,41.49
78.75,67.5,31.98,34.59,32.79,42.78,47.4,68.67,73.47,71.19,74.82,76.59,54.24,43.5
78.75,71.25,28.02,29.52,27.48,37.02,45.87,70.83,71.49,68.85,71.22,70.59,49.38,39.72
78.75,75,20.7,21.63,20.76,30.03,41.58,66.45,60.78,60.3,62.49,58.71,39.84,31.56
78.75,78.75,24.84,23.7,23.34,35.79,49.08,70.29,67.14,70.26,74.88,66.54,46.32,37.23
78.75,82.5,26.73,24.9,23.73,36.15,57.3,77.34,75.54,78.99,79.02,64.95,45.12,37.05
