lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
83.75,116.25,-10.005,-12.672,-17.245,-7.233,4.178,14.457,23.115,20.666,11.825,3.715,-2.33,-6.856
83.75,120,-11.614,-14.161,-17.958,-7.112,4.763,15.275,23.943,21.103,11.722,3.094,-3.526,-8.322
83.75,123.75,-10.719,-13.212,-17.505,-7.274,4.316,14.602,23.172,20.75,12.106,3.522,-3.003,-7.578
83.75,127.5,-10.009,-12.572,-17.259,-7.459,3.651,13.864,22.144,20.159,12.288,3.952,-2.33,-6.94
83.75,131.25,-9.737,-12.539,-17.206,-7.637,3.057,13.466,21.559,19.817,12.217,4.131,-1.898,-6.665
83.75,135,-9.832,-13.019,-17.57,-7.834,3.097,13.404,21.56,19.967,12.165,4.031,-1.664,-6.556
83.75,138.75,-10.862,-13.816,-18.042,-7.714,3.823,14.598,22.807,20.577,11.968,3.523,-2.603,-7.639
83.75,142.5,-12.176,-15.007,-18.414,-7.478,4.256,15.465,23.538,20.846,11.798,2.868,-3.86,-8.886
83.75,146.25,-10.829,-14.191,-17.855,-7.402,4.369,15.367,23.156,20.579,11.898,3.166,-3.129,-7.707
81.25,37.5,-9.756,-11.66,-14.442,-6.127,2.657,12.786,18.684,16.862,10.49,3.43,-2.313,-6.665
81.25,60,-11.413,-13.812,-15.707,-5.985,3.909,12.925,19.988,18.714,11.148,3.557,-2.995,-7.607
81.25,63.75,-11.245,-13.746,-15.419,-6.082,3.363,12.842,19.918,18.637,11.303,3.789,-2.682,-7.395
81.25,67.5,-10.55,-12.555,-14.898,-6.233,2.613,12.361,19.299,18.134,11.049,3.488,-2.912,-7.308
81.25,71.25,-10.461,-12.512,-15.092,-6.211,3.179,12.38,19.46,18.199,11.208,3.469,-2.694,-7.189
81.25,75,-10.24,-12.645,-15.296,-5.7,4.871,13.494,20.818,18.984,11.585,3.539,-2.392,-6.923
81.25,78.75,-10.539,-13.558,-16.072,-6.02,4.489,12.875,20.456,18.8,11.731,3.497,-2.488,-7.028
81.25,105,-12.037,-16.495,-17.836,-6.248,5.504,15.989,24.903,21.92,12.616,3.712,-2.883,-7.921
81.25,108.75,-11.328,-15.012,-17.356,-6.602,5.115,15.447,24.139,21.721,12.989,4.225,-2.051,-6.966
81.25,116.25,-17.154,-20.378,-19.63,-5.829,9.052,24.007,32.804,25.122,11.744,0.949,-6.845,-12.787
81.25,120,-19.982,-22.438,-20.194,-5.366,11.024,26.114,34.722,26.063,11.298,-0.177,-8.978,-15.283
81.25,123.75,-19.17,-21.438,-19.865,-5.603,10.187,25.106,33.373,25.259,11.676,0.104,-9.051,-14.859
81.25,127.5,-18.362,-20.821,-19.661,-5.8,9.328,23.962,31.662,24.311,12.07,0.726,-8.371,-14.227
81.25,131.25,-17.08,-20.226,-19.221,-6.099,7.76,22.552,29.979,23.35,12.132,1.475,-6.842,-13.073
81.25,135,-11.269,-17.547,-19.283,-7.423,3.229,13.932,21.982,20.609,13.096,4.188,-2.304,-7.651
81.25,138.75,-11.676,-16.302,-19.415,-7.36,3.939,15.171,23.414,21.499,13.029,3.842,-2.999,-8.405
81.25,142.5,-12.797,-18.045,-19.723,-7.222,4.252,16.035,24.315,22.157,13.142,3.486,-3.86,-9.197
81.25,146.25,-11.359,-17.703,-19.47,-7.128,4.576,16.606,24.901,22.666,13.361,3.749,-3.159,-7.999
81.25,165,-9.671,-14.446,-18.469,-7.396,5.492,17.843,25.473,23.054,13.001,3.74,-2.379,-7.187
81.25,168.75,-9.154,-13.667,-18.132,-7.331,5.734,18.055,25.823,23.533,13.257,3.908,-2.019,-6.947
81.25,172.5,-7.884,-12.084,-16.921,-7.246,5.652,17.772,25.619,23.709,13.672,4.486,-1.058,-5.751
81.25,176.25,-7.885,-11.653,-16.127,-7.341,5.436,17.547,25.321,23.534,13.668,4.548,-1.022,-5.694
81.25,180,-8.666,-11.979,-15.899,-7.267,5.985,17.939,25.5,23.526,13.366,4.127,-1.673,-6.411
81.25,-176.25,-9.863,-12.904,-16.42,-7.342,6.194,18.208,25.4,23.167,13.001,3.611,-2.498,-7.492
81.25,-172.5,-8.536,-11.653,-16.011,-7.55,5.533,17.363,24.218,22.251,13.14,4.249,-1.381,-6.029
81.25,-161.25,-8.262,-11.368,-16.319,-7.505,5.54,17.201,24.327,22.502,13.384,4.322,-1.396,-5.438
81.25,-157.5,-9.743,-12.851,-17.017,-7.307,6.417,18.256,25.499,23.316,13.304,3.836,-2.314,-6.789
81.25,-153.75,-8.139,-11.528,-16.051,-7.171,6.003,17.604,24.814,23.079,13.543,4.484,-1.11,-5.196
81.25,-150,-8.614,-12.257,-16.696,-7.382,5.316,16.834,23.865,22.481,13.341,4.418,-1.163,-5.525
81.25,-146.25,-8.981,-12.694,-16.654,-7.159,5.658,16.715,23.676,22.407,13.125,4.184,-1.33,-5.847
81.25,-142.5,-8.374,-12.158,-16.463,-7.239,5.579,15.992,22.885,21.95,13.11,4.465,-0.799,-5.125
81.25,-78.75,-14.647,-21.321,-20.492,-7.743,4.55,12.911,18.703,17.341,10.048,0.668,-7.249,-12.183
81.25,-75,-14.064,-20.68,-20.045,-7.645,4.852,13.102,18.747,17.324,9.907,0.765,-6.876,-11.575
81.25,-71.25,-13.226,-20.01,-19.833,-7.786,4.854,12.109,17.483,16.637,9.762,1.38,-5.729,-10.317
81.25,-67.5,-12.28,-19.418,-19.828,-7.994,4.659,11.101,16.132,15.705,9.527,1.769,-4.967,-9.491
81.25,-63.75,-11.692,-19.063,-19.891,-8.193,4.206,10.264,15.124,14.843,9.353,1.926,-4.647,-9.183
81.25,-60,-11.429,-18.777,-19.547,-8.178,3.941,9.954,14.936,14.57,9.349,2.095,-4.3,-8.77
81.25,-56.25,-12.466,-19.57,-19.759,-8.212,3.788,10.271,15.505,14.763,9.263,1.828,-4.788,-9.295
81.25,-52.5,-13.861,-20.461,-20.032,-8.016,4.096,11.363,16.806,15.489,9.148,1.148,-6.115,-10.627
81.25,-48.75,-14.861,-21.061,-20.253,-7.683,4.673,12.566,17.949,16.141,8.964,0.187,-8.017,-12.581
81.25,-45,-13.183,-19.266,-19.365,-7.599,4.266,11.81,16.938,15.582,9.024,0.745,-7.143,-11.7
81.25,-30,-12.294,-17.135,-18.33,-7.267,4.573,13.697,18.806,16.485,9.331,1.9,-5.305,-8.845
