lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
83.75,-78.75,4.32,4.53,5.4,5.82,12.48,18.48,24.93,25.74,21.48,12.48,6.72,5.43
83.75,-75,4.71,4.98,5.55,6.48,13.65,19.65,26.52,28.83,21.99,13.02,7.38,5.52
83.75,-71.25,4.95,5.16,5.43,6.63,15.03,21.75,32.22,29.28,20.76,13.08,7.62,5.43
83.75,-67.5,5.1,5.28,5.34,5.97,12.81,23.04,32.97,27.9,19.41,12.45,7.56,5.37
83.75,-45,6.18,5.97,6.78,7.08,13.41,25.62,33.9,29.97,24.27,15.45,8.43,6.93
83.75,-41.25,6.75,6.66,7.56,8.19,14.46,20.76,23.19,29.34,25.53,16.32,9.21,7.47
83.75,-37.5,7.2,7.26,8.13,8.97,14.1,18.87,20.73,25.29,24.27,17.28,9.99,7.83
83.75,-33.75,7.26,7.53,8.16,8.52,13.41,18.51,21.06,25.8,23.04,16.95,9.9,7.59
83.75,-30,7.44,7.83,8.43,8.7,14.13,22.98,28.17,27.51,21.57,17.04,10.32,7.68
83.75,-26.25,7.98,8.52,9.03,9.09,13.95,18.99,25.56,26.79,21.9,18.24,11.52,8.19
81.25,-90,5.22,4.44,5.61,6.48,14.25,21.57,32.25,30.15,28.77,15.72,8.16,6.84
81.25,-86.25,4.14,3.36,4.2,4.92,12.57,20.7,28.68,22.08,21.45,12,6.03,5.19
81.25,-82.5,3.66,2.79,3.36,4.38,12.42,19.47,26.19,18.9,18.6,10.5,5.13,4.35
81.25,-78.75,5.76,4.74,5.19,6.96,13.83,16.44,25.08,21.66,25.35,15.81,8.13,6.54
81.25,-75,6.06,4.83,4.92,6.99,13.53,15.63,23.4,21.69,24,15.39,8.31,6.21
81.25,-71.25,6.21,4.83,4.68,6.9,14.94,18.18,28.71,22.26,22.35,15.57,8.97,6.06
81.25,-67.5,4.59,3.84,3.51,4.35,9.12,16.2,24.66,15.99,14.07,9.87,6.18,4.38
81.25,-63.75,3.9,3.06,2.91,3.84,8.43,14.67,17.04,13.23,13.2,9.12,5.76,4.05
81.25,-60,5.28,4.32,4.23,5.94,11.76,16.98,21.72,23.61,20.58,12.27,7.83,5.67
81.25,-56.25,5.46,4.47,4.53,6.3,11.34,15.24,19.26,21.3,19.47,12.03,7.68,5.88
81.25,-52.5,5.46,4.5,4.59,6.03,11.31,15.63,19.08,21.6,19.5,11.55,7.05,5.79
81.25,-48.75,5.04,4.08,4.2,5.46,10.65,14.49,16.65,19.5,17.55,10.17,5.94,5.28
81.25,-45,6.18,5.04,5.4,6.78,12.75,23.31,33.33,26.19,20.85,12.78,7.2,6.51
81.25,-41.25,6.42,5.49,5.73,6.78,12.9,16.38,19.8,23.58,19.89,12.3,7.11,6.45
81.25,-37.5,6.3,5.73,5.79,6.45,11.79,14.55,17.67,19.08,17.37,11.73,6.81,6.06
81.25,-33.75,6.39,6.21,6.03,6,10.74,12.39,16.08,16.77,14.73,11.4,6.75,5.85
81.25,-30,6.66,6.72,6.57,6.48,11.76,16.71,23.34,17.91,14.22,12.39,7.5,6.09
81.25,-26.25,7.17,7.59,7.35,6.81,11.4,13.65,19.53,17.7,14.34,13.65,8.73,6.75
81.25,-22.5,8.07,8.82,8.49,7.83,12.33,13.5,18.66,19.53,15.63,15.27,10.44,7.89
81.25,-18.75,11.73,12.99,12.57,12.48,18.03,20.22,27.42,30.66,25.5,23.79,16.98,12.24
78.75,101.25,5.76,7.83,8.64,9.57,19.41,33.18,33.45,36.6,34.35,28.05,12.45,7.71
78.75,105,5.52,7.38,7.95,9.15,18.93,30.81,33.12,36.24,33.69,27.06,11.82,7.23
78.75,-90,6.39,5.28,6.09,8.07,15.78,26.97,41.94,35.79,32.7,19.11,10.05,7.83
78.75,-86.25,5.22,4.05,4.44,6.33,13.86,32.82,47.43,30.6,25.98,14.97,7.77,6
78.75,-82.5,5.73,4.2,4.26,6.93,14.76,29.16,45.9,31.56,28.02,15.84,8.16,6.15
78.75,-78.75,7.83,5.25,5.1,9.48,17.25,26.37,41.7,36.66,37.32,21.54,11.22,7.71
78.75,-75,6.36,3.81,3.27,6.72,12.51,17.85,28.71,25.86,29.16,17.46,8.55,5.82
78.75,-71.25,6.51,3.78,3.15,5.94,11.1,14.79,24.03,21.12,25.11,15.96,8.73,5.82
78.75,-67.5,8.82,5.19,4.53,8.49,13.5,14.43,25.23,28.89,30.09,17.46,11.67,8.1
78.75,-63.75,9.69,5.91,5.67,10.14,16.95,20.01,29.43,29.19,29.22,18.27,12.84,9.36
78.75,-60,10.32,6.33,6.66,11.73,20.01,19.41,27.78,32.76,31.14,19.68,13.92,10.29
78.75,-56.25,9.57,5.97,6.6,11.31,18.75,17.13,23.58,28.17,25.71,17.07,12.09,9.6
78.75,-52.5,8.4,5.43,6.12,10.26,16.95,16.95,22.2,26.07,21.42,14.7,10.14,8.46
78.75,-48.75,6.39,4.32,4.71,7.59,12.57,14.16,17.79,20.01,15.42,10.77,7.2,6.45
78.75,-45,4.83,3.48,3.48,5.58,9.33,11.82,15.21,15.99,11.73,8.4,5.31,4.74
78.75,-41.25,3.78,3.06,2.7,3.84,6.54,8.94,12.15,12.06,8.13,5.94,4.05,3.45
78.75,-37.5,3.3,3.12,2.34,2.82,5.46,8.22,11.67,10.26,6.09,4.26,3.21,2.67
78.75,-33.75,3.63,3.9,2.82,2.85,5.55,7.89,11.43,9.15,5.37,4.14,3.36,2.82
78.75,-30,4.8,5.52,4.17,3.96,7.05,9.72,14.4,10.65,6.6,5.97,4.68,3.9
78.75,-26.25,6.24,7.47,5.91,5.37,8.34,12.15,16.92,14.07,8.94,8.91,6.87,5.4
78.75,-22.5,8.82,10.56,9.06,8.76,11.64,15.81,21.87,18.75,13.47,14.85,11.31,8.34
78.75,-18.75,12.6,14.76,13.47,12.96,17.85,21.12,28.53,31.29,24.24,23.76,18.6,13.23
76.25,90,7.86,10.32,12.27,12.6,23.16,37.8,37.8,40.68,37.23,30.75,16.05,10.47
76.25,93.75,7.26,9.75,11.61,12.42,23.34,40.65,39.6,41.76,38.28,30.63,15.69,9.75
76.25,97.5,6.39,8.58,10.02,11.34,21.57,41.16,40.38,41.61,37.26,28.8,13.8,8.55
76.25,101.25,5.91,7.77,8.91,10.59,20.76,43.35,42.9,43.26,37.68,24.3,10.92,7.8
