lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
83.75,-78.75,-50.725,-50.975,-47.037,-32.349,-11.373,-2.711,-1.991,-6.346,-20.661,-32.971,-42.503,-46.963
83.75,-75,-50.5,-50.753,-47.17,-32.323,-11.049,-2.26,-1.373,-4.913,-19.065,-32.694,-42.207,-47.041
83.75,-71.25,-47.869,-48.607,-45.664,-29.982,-8.311,0.405,3.878,0.625,-13.422,-29.484,-38.847,-44.257
83.75,-67.5,-46.027,-46.925,-44.426,-28.84,-7.498,2.978,5.765,1.859,-11.885,-28.111,-37.462,-42.802
83.75,-45,-44.956,-46.021,-43.45,-28.302,-6.873,3.656,6.147,2.08,-11.759,-27.227,-36.836,-41.727
83.75,-41.25,-46.751,-47.377,-44.558,-30.944,-11.044,-2.124,-1.126,-4.523,-17.505,-29.661,-38.832,-43.587
83.75,-37.5,-47.699,-47.992,-44.847,-30.77,-10.986,-2.609,-2.075,-6.33,-19.064,-30.452,-39.666,-44.589
83.75,-33.75,-46.331,-46.563,-43.998,-30.653,-10.957,-2.266,-1.653,-5.757,-18.485,-29.668,-38.413,-43.407
83.75,-30,-45.364,-45.791,-43.23,-28.068,-7.378,2.08,4.107,0.384,-13.887,-28.112,-36.982,-42.403
83.75,-26.25,-44.883,-45.222,-42.803,-27.788,-6.862,2.757,3.938,0.702,-12.907,-27.679,-36.551,-42.132
81.25,-90,-46.602,-47.672,-43.996,-30.497,-10.691,-2.069,-1.502,-4.159,-14.818,-28.865,-37.898,-42.945
81.25,-86.25,-45.461,-46.852,-43.247,-28.199,-7.617,2.965,4.205,0.876,-9.321,-26.539,-36.478,-41.745
81.25,-82.5,-44.633,-46.139,-42.883,-27.873,-7.388,2.508,3.751,0.805,-8.275,-25.288,-35.855,-41.14
81.25,-78.75,-52.564,-53.342,-48.52,-33.7,-15.077,-6.789,-5.994,-12.892,-24.725,-34.534,-44.502,-49.435
81.25,-75,-51.768,-52.698,-48.425,-33.213,-13.941,-5.287,-4.389,-10.474,-22.465,-34.007,-43.958,-49.283
81.25,-71.25,-46.233,-48.365,-45.005,-28.663,-8.684,4.068,9.466,3.562,-10.801,-27.579,-37.339,-43.349
81.25,-67.5,-44.702,-46.986,-44.285,-28.803,-9.466,7.812,13.719,6.228,-9.319,-27.17,-36.434,-42.011
81.25,-63.75,-41.102,-43.549,-40.577,-26.402,-7.182,4.331,6.036,2.234,-9.363,-24.813,-33.958,-38.911
81.25,-60,-42.186,-44.456,-41.359,-28.255,-10.84,-2.803,-2.115,-5.417,-14.704,-27.312,-35.692,-40.295
81.25,-56.25,-41.821,-44.014,-40.698,-27.631,-10.864,-3.381,-2.371,-5.829,-14.748,-27.629,-35.307,-39.617
81.25,-52.5,-41.87,-43.909,-40.442,-27.313,-10.987,-3.462,-2.284,-5.795,-15.148,-28.247,-35.512,-39.513
81.25,-48.75,-41.596,-43.637,-40.538,-27.848,-11.866,-3.951,-2.429,-5.967,-15.998,-28.357,-35.369,-39.219
81.25,-45,-43.572,-45.673,-42.381,-28.489,-12.086,0.351,4.392,-2.793,-15.55,-28.933,-36.807,-41.021
81.25,-41.25,-45.47,-46.974,-43.718,-31.411,-16.267,-5.581,-2.975,-9.417,-21.26,-31.623,-39.083,-43.129
81.25,-37.5,-46.142,-47.183,-43.735,-31.327,-15.972,-5.848,-3.746,-10.789,-22.364,-32.208,-39.855,-43.838
81.25,-33.75,-44.162,-45.011,-41.994,-30.661,-15.392,-5.211,-3.303,-9.98,-21.251,-30.445,-37.851,-41.808
