lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
83.75,-78.75,16.11,15.36,16.68,19.05,22.59,25.35,28.65,35.25,29.61,31.92,25.89,19.68
83.75,-75,16.38,15.27,16.77,19.05,22.83,29.01,32.37,35.1,28.62,30.27,25.5,19.47
83.75,-71.25,18,16.86,18.36,18.03,21.12,27.69,31.38,37.32,30.06,33.45,28.47,21.9
83.75,-67.5,17.76,16.23,17.61,17.4,18.6,20.28,21.57,33.63,27.78,33.18,28.56,22.5
83.75,-45,20.22,19.98,20.73,23.88,26.82,31.47,39.42,47.25,34.05,46.65,36.69,28.29
83.75,-41.25,27.78,27.72,29.52,34.8,40.5,49.41,68.07,64.56,49.23,57.81,44.88,36.66
83.75,-37.5,26.1,26.37,27.09,30.81,34.08,45.03,53.37,47.46,40.8,49.56,40.23,33.24
83.75,-33.75,28.14,28.35,28.77,30.12,32.22,34.23,41.4,44.82,41.04,48.27,39.99,34.35
83.75,-30,29.16,29.52,29.37,29.1,29.1,26.91,34.98,40.02,40.05,45.24,38.94,34.41
83.75,-26.25,31.68,32.19,31.77,31.29,28.95,34.44,41.46,43.26,42.96,46.26,41.91,36.24
81.25,-90,19.23,16.53,20.22,28.44,38.76,48.3,57.42,63.18,48.9,49.02,37.86,25.35
81.25,-86.25,12.75,10.62,12.24,17.43,25.23,27.09,29.97,38.58,32.67,33.51,25.2,17.07
81.25,-82.5,19.17,16.89,18.18,23.64,34.29,35.52,41.52,49.41,40.26,39.87,29.94,22.53
81.25,-78.75,19.11,16.35,18.87,25.8,36.06,36.48,42.75,48.87,44.13,42.18,31.68,24.15
81.25,-75,22.14,19.47,21.96,28.29,38.22,41.88,46.53,53.19,47.46,41.49,33.36,26.34
81.25,-71.25,16.17,13.56,14.79,15,20.58,24.75,25.5,30.33,29.82,27.06,22.53,18.99
81.25,-67.5,18,15.39,16.95,18.06,20.19,23.13,25.86,41.73,33.54,31.35,25.32,21.72
81.25,-63.75,15.12,13.17,14.19,15.69,18.3,21,23.25,36.36,26.67,26.82,22.11,19.44
81.25,-60,16.17,14.73,15.24,18.48,22.83,26.28,28.65,44.82,31.8,33.36,25.83,21.75
81.25,-56.25,16.92,15.54,15.6,19.14,24.81,28.68,37.14,49.41,33.15,36.09,26.97,22.41
81.25,-52.5,19.02,17.1,16.68,20.19,26.52,28.17,37.08,51.27,34.29,39.21,28.41,24.3
81.25,-48.75,19.98,17.58,16.47,19.23,25.2,27.6,38.73,48.81,32.88,38.43,27.42,24.3
81.25,-45,22.47,20.43,19.14,21.39,28.17,40.02,59.64,54.99,38.01,41.85,29.82,26.94
81.25,-41.25,33.21,31.38,30.51,36.39,46.53,69.6,102,72.78,53.52,53.76,40.44,37.5
81.25,-37.5,33.54,32.31,29.67,31.92,38.58,51.15,67.56,51.21,43.53,46.68,37.62,35.7
81.25,-33.75,37.05,36.3,33.39,30.36,32.31,33.48,41.58,42.93,42.63,47.13,39.75,38.55
81.25,-30,37.92,37.62,35.04,30.03,27.57,23.73,31.26,35.64,41.19,46.41,40.62,38.85
81.25,-26.25,42.99,42.9,40.53,37.08,32.16,44.4,53.64,43.92,48.63,53.07,48.09,43.86
81.25,-22.5,36.72,36.63,35.61,30.18,23.94,33.54,37.92,35.52,39.45,42.78,41.79,36.51
81.25,-18.75,45,44.16,44.07,38.58,32.4,30.3,39.12,49.83,55.11,56.46,55.62,46.08
78.75,101.25,16.92,14.34,17.49,25.62,32.67,31.41,36.54,38.52,37.23,39.18,38.43,27.75
78.75,105,18,15.6,18.69,25.71,34.11,35.34,37.02,42.06,41.46,42.57,40.8,29.16
78.75,-90,20.1,16.23,21.03,35.73,40.89,57.39,66.33,69.39,51.06,49.35,39.12,26.7
78.75,-86.25,15.78,11.79,15.12,27.81,33.99,48.75,52.92,53.58,40.32,38.37,30.99,20.85
78.75,-82.5,16.92,12.78,15.54,25.23,33.18,44.28,50.19,49.83,39.3,37.71,29.82,21.39
78.75,-78.75,25.62,21.69,24.9,34.41,45.93,63,73.95,66.6,57.45,49.14,41.07,31.2
78.75,-75,23.28,19.89,21.9,28.65,37.2,37.23,42.51,51.99,48.54,41.52,35.91,28.5
78.75,-71.25,15.75,12.84,13.14,16.29,20.01,20.31,22.41,27.6,28.32,23.97,22.14,19.56
78.75,-67.5,21.21,18.42,19.74,25.08,24.87,30.33,38.16,49.74,42.09,34.98,29.76,25.89
78.75,-63.75,17.4,16.44,17.73,23.1,24.12,31.35,43.26,48.36,40.23,31.5,25.77,22.77
78.75,-60,17.85,17.19,18.21,23.13,26.49,27.99,36.39,52.95,44.04,34.83,27.6,24.09
78.75,-56.25,18.21,17.22,18.09,21.9,26.22,28.53,43.62,52.38,43.38,34.53,27,23.91
78.75,-52.5,17.73,16.14,15.81,18.33,23.7,25.08,37.59,48.57,39.72,31.17,23.4,21.78
78.75,-48.75,19.11,16.56,15.06,15.78,20.19,23.25,36.42,41.22,34.14,27.96,21.51,21.18
78.75,-45,21.72,18.66,16.08,15.51,19.68,28.89,44.88,40.47,33.93,26.97,21.81,22.17
78.75,-41.25,27.93,25.29,22.29,22.98,28.47,43.11,56.91,42.54,38.43,31.14,26.73,27.36
78.75,-37.5,31.8,30,26.43,23.52,26.22,26.82,35.01,35.16,36.18,33.24,30.09,31.29
78.75,-33.75,36.96,36.33,33.18,25.53,24.6,20.85,24.45,35.04,39.18,40.08,36.63,37.29
78.75,-30,39.72,40.26,38.4,28.65,24.66,18.27,22.53,32.76,41.13,46.08,42.63,41.37
78.75,-26.25,47.46,49.29,48.45,40.56,34.32,35.07,43.89,43.83,52.47,58.68,54.81,50.97
78.75,-22.5,44.16,45.93,46.74,38.85,30.21,39.84,40.38,41.19,49.56,57.21,54,47.58
78.75,-18.75,51.66,52.08,53.88,45.15,36.15,28.53,35.61,52.62,61.47,68.79,66.12,56.97
76.25,90,21.24,17.85,22.41,34.11,35.25,36.93,47.91,40.74,43.65,47.97,45.03,34.89
76.25,93.75,20.1,17.1,22.38,34.32,37.41,38.19,48.24,44.31,45.93,48.45,44.25,34.2
76.25,97.5,19.2,16.05,21.87,33.66,37.41,38.46,46.86,46.68,45.51,47.31,41.94,31.53
76.25,101.25,15.99,13.71,18.96,31.62,36.27,38.37,45.27,44.91,43.77,43.83,36.51,25.05
76.25,105,16.92,15.06,20.04,31.35,39.09,41.61,46.5,49.23,48.66,47.28,38.85,26.19
76.25,108.75,18.63,16.26,20.82,32.31,40.68,42.06,45.99,49.56,48.87,44.25,38.73,27.51
76.25,112.5,14.37,12.6,17.25,25.77,32.91,35.64,37.53,41.1,42,35.19,32.52,22.47
76.25,-90,16.47,12.93,18.09,31.11,27.72,37.14,38.64,48.18,38.79,33.78,29.7,21.21
76.25,-86.25,17.04,12.66,17.67,31.83,34.26,51.33,52.68,54.69,41.67,34.56,30.36,20.73
76.25,-82.5,24.81,20.76,26.34,37.95,42.87,72.06,83.97,73.77,56.61,44.73,38.94,28.47
76.25,-78.75,21.81,18.12,19.35,24.9,31.23,49.95,59.52,50.01,41.43,31.2,28.68,23.34
76.25,-67.5,25.59,20.64,19.59,24.87,23.46,26.01,33.18,42.81,41.43,32.34,30.3,29.58
76.25,-63.75,27.54,23.7,22.95,28.05,28.56,31.5,43.65,51.18,53.01,39.36,36.57,33.69
76.25,-60,25.2,22.05,22.11,25.89,28.38,22.53,30.54,47.31,54.81,39.42,36.87,31.47
76.25,-56.25,26.52,23.49,25.92,28.68,32.82,36.87,56.01,60.57,67.8,45.15,40.83,32.46
76.25,-52.5,20.85,18,19.38,21.57,26.01,24.81,37.98,47.22,53.88,33.87,30.69,24.63
76.25,-48.75,19.02,15.54,16.05,17.43,20.94,21.18,29.31,38.58,42.81,27.48,25.14,21.15
