lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
83.75,-78.75,-29.834,-31.369,-27.926,-11.894,-0.041,3.659,4.663,2.736,-2.465,-9.606,-15.821,-24.216
83.75,-75,-29.968,-31.74,-28.303,-12.547,-0.128,3.887,4.934,2.912,-2.507,-10.049,-16.563,-24.776
83.75,-71.25,-27.801,-29.419,-26.987,-14.125,-0.792,4.98,6.664,4.186,-2.385,-9.288,-15.215,-23.102
83.75,-67.5,-26.105,-28.274,-26.198,-16.01,-2.571,3.574,6.246,4.284,-2.098,-8.896,-14.419,-21.231
83.75,-45,-27.228,-28.293,-26.337,-15.194,-1.886,2.785,5.773,3.078,-3.816,-10.92,-16.788,-22.928
83.75,-41.25,-26.386,-26.887,-24.766,-12.889,-1.622,1.735,5.598,2.565,-3.773,-10.221,-15.129,-21.449
83.75,-37.5,-26.284,-26.713,-24.44,-11.938,-1.06,3.742,5.833,2.901,-3.175,-9.692,-14.77,-21.214
83.75,-33.75,-25.391,-25.831,-23.938,-12.115,-1.25,3.011,4.955,2.727,-3.393,-9.484,-14.431,-20.442
83.75,-30,-24.514,-25.002,-23.283,-11.691,-1.041,3.785,5.274,3.276,-3.025,-9.109,-13.939,-19.671
83.75,-26.25,-23.402,-23.75,-21.788,-10.115,-0.626,4.163,5.572,3.696,-1.926,-8.177,-12.769,-18.721
81.25,-90,-28.314,-30.302,-25.937,-12.729,-1.274,3.043,5.062,2.718,-2.943,-10.268,-15.985,-23.461
81.25,-86.25,-27.812,-29.606,-25.335,-12.473,-0.336,4.399,5.475,2.963,-2.406,-8.948,-14.123,-21.999
81.25,-82.5,-24.658,-25.245,-21.828,-11.3,-1.62,1.714,3.94,1.927,-2.63,-7.916,-12.071,-19.315
81.25,-78.75,-31.704,-33.591,-27.992,-11.391,-0.468,6.802,9.309,3.595,-5.09,-15.246,-21.07,-26.124
81.25,-75,-30.802,-32.717,-27.306,-11.029,-0.36,6.672,9.274,3.516,-5.008,-15.324,-21.197,-25.829
81.25,-71.25,-29.402,-31.398,-28.092,-14.787,-0.725,10.923,13.788,7.16,-4.668,-15.374,-21.204,-25.098
81.25,-67.5,-28.391,-30.365,-28.038,-18.672,-5.084,4.272,8.872,5.061,-5.021,-15.815,-21.607,-24.747
81.25,-63.75,-23.368,-25.773,-23.395,-14.2,-3.498,3.482,7.232,5.317,-1.185,-8.898,-13.142,-17.726
81.25,-60,-24.1,-25.649,-23.549,-13.845,-2.91,2.817,5.812,4.131,-1.671,-9.168,-13.635,-18.916
81.25,-56.25,-24.932,-25.792,-23.582,-14.498,-3.438,1.985,6.062,4.095,-1.968,-9.417,-13.91,-19.899
81.25,-52.5,-24.798,-25.428,-23.398,-15.116,-4.121,0.454,5.011,3.291,-3.073,-10.209,-14.3,-19.84
81.25,-48.75,-23.324,-24.035,-22.912,-15.721,-4.721,0.419,4.812,3.058,-2.853,-9.592,-13.875,-19.123
81.25,-45,-28.849,-29.86,-26.839,-17.152,-4.503,5.351,11.433,4.928,-6.605,-17.874,-23.179,-25.701
81.25,-41.25,-28.302,-29.173,-25.081,-12.101,-2.04,5.798,11.54,4.307,-6.281,-17.04,-22.12,-24.869
81.25,-37.5,-28.295,-29.188,-25.381,-11.841,-1.839,6.809,11.207,4.223,-6.434,-16.988,-21.856,-24.862
81.25,-33.75,-27.324,-28.005,-25.969,-16.096,-5.076,2.373,4.972,0.373,-10.234,-17.387,-21.471,-23.963
81.25,-30,-26.058,-26.307,-24.99,-15.48,-4.612,3.417,5.4,0.779,-9.908,-16.552,-20.376,-22.636
81.25,-26.25,-24.47,-24.131,-21.806,-8.62,0.022,10.102,12.765,6.527,-3.961,-13.64,-18.29,-21.084
81.25,-22.5,-21.023,-20.686,-18.944,-8.973,0.232,5.929,7.314,4.725,-0.888,-7.044,-11.45,-16.998
81.25,-18.75,-21.769,-21.46,-19.877,-9.943,-0.64,3.471,4.989,3.341,-0.674,-5.846,-9.731,-16.894
78.75,101.25,-28.31,-29.827,-23.872,-10.528,-0.136,3.984,6.009,4.831,0.49,-5.33,-9.763,-17.626
78.75,105,-28.157,-29.499,-25.282,-13.286,-1.79,1.113,5.15,4.388,0.335,-5.632,-9.994,-17.812
78.75,-90,-31.512,-33.182,-25.711,-9.268,0.918,9.703,11.666,5.499,-3.841,-16.34,-23.788,-28.004
78.75,-86.25,-31.072,-32.353,-25.756,-10.203,0.956,10.286,11.804,5.709,-3.594,-14.453,-20.634,-25.876
78.75,-82.5,-30.326,-31.235,-25.176,-11.205,0.295,8.113,10.943,5.11,-4.112,-14.3,-20.276,-25.317
78.75,-78.75,-28.925,-30.02,-24.709,-11.52,-1.357,6.975,10.399,4.339,-4.879,-15.357,-20.829,-24.798
78.75,-75,-21.934,-24.66,-21.574,-11.412,-1.742,1.812,3.888,2.305,-1.623,-6.94,-10.556,-15.455
78.75,-71.25,-21.134,-23.569,-21.838,-12.279,-1.262,5.3,7.56,5.528,-1.484,-8.308,-12.145,-15.704
78.75,-67.5,-28.022,-29.046,-26.809,-18.237,-5.863,4.52,10.194,6.296,-4.137,-17.305,-23.606,-26.134
78.75,-63.75,-26.646,-27.2,-24.83,-16.687,-5.187,7.407,13.832,7.386,-3.046,-15.266,-20.818,-23.612
78.75,-60,-26.925,-26.991,-24.278,-16.132,-5.114,3.793,8.631,4.197,-5.295,-16.172,-21.195,-23.592
78.75,-56.25,-27.066,-26.837,-23.918,-16.476,-6.09,2.732,10.943,5.192,-4.845,-15.74,-20.78,-23.442
78.75,-52.5,-27.266,-27.225,-24.431,-17.444,-7.184,0.132,6.352,2.567,-8.344,-17.425,-21.556,-23.98
78.75,-48.75,-26.385,-26.923,-24.531,-18.178,-7.873,0.065,5.591,1.927,-8.602,-17.503,-21.362,-23.845
78.75,-45,-26.536,-27.52,-25.052,-17.97,-6.958,1.469,7.536,2.528,-8.17,-18.177,-22.164,-24.674
78.75,-41.25,-26.903,-28.275,-24.777,-14.51,-4.41,3.16,8.623,2.991,-7.67,-18.25,-22.691,-25.209
78.75,-37.5,-26.61,-28.092,-25.149,-15.199,-4.952,2.02,7.26,2.559,-8.606,-18.442,-22.46,-24.845
78.75,-33.75,-25.587,-26.663,-25.498,-19.61,-8.605,-2.354,-0.762,-3.33,-12.979,-18.302,-21.346,-23.495
78.75,-30,-24.319,-24.516,-24.231,-19.271,-8.162,-2.074,-0.606,-3.602,-13.201,-17.138,-19.501,-21.742
78.75,-26.25,-23.045,-22.195,-19.822,-9.333,-0.679,8.501,12.855,6.145,-4.711,-13.896,-17.75,-20.4
78.75,-22.5,-24.313,-23.099,-19.375,-7.193,1.926,12.741,14.724,8.497,-1.794,-12.164,-17.547,-21.292
78.75,-18.75,-18.994,-19.39,-17.272,-7.68,-0.741,3.328,6.277,4.866,0.164,-5.431,-8.738,-13.777
76.25,90,-26.567,-27.906,-20.778,-7.876,0.438,4.713,7.422,6.344,1.25,-5.226,-10.607,-17.397
76.25,93.75,-26.17,-27.455,-20.593,-8.107,0.12,4.276,7.038,6.023,1.276,-4.606,-9.871,-16.44
76.25,97.5,-25.847,-27.217,-19.9,-7.551,0.288,4.35,7.287,6.172,1.414,-3.943,-9.082,-16.159
76.25,101.25,-30.999,-31.343,-22.649,-8.509,1.423,9.597,12.111,7.485,0.005,-8.745,-16.11,-23.651
76.25,105,-32.079,-32.235,-24.738,-11.404,-0.484,6.166,10.736,6.636,-0.462,-9.674,-17.08,-24.736
76.25,108.75,-26.611,-26.994,-20.908,-8.828,-0.683,3.315,6.444,5.43,0.991,-5.158,-10.588,-18.247
76.25,112.5,-27.208,-27.798,-21.054,-8.71,0.55,3.454,6.048,5.354,1.312,-4.972,-10.825,-18.726
76.25,-90,-30.26,-32.157,-23.666,-7.845,3.14,11.74,12.398,6.766,-1.129,-12.488,-20.027,-25.247
76.25,-86.25,-30.398,-31.879,-23.895,-8.772,2.113,10.712,11.708,6.377,-1.66,-11.86,-18.405,-24.028
76.25,-82.5,-31.567,-31.465,-23.58,-9.4,0.654,9.336,11.937,6.602,-2.985,-14.086,-20.846,-26.296
76.25,-78.75,-23.69,-25.348,-21.975,-10.15,-1.122,3.838,5.836,3.865,-1.485,-8.691,-13.119,-17.987
76.25,-67.5,-19.891,-23.703,-21.699,-13.055,-3.413,4.498,10.134,7.711,0.769,-9.135,-14.359,-16.763
76.25,-63.75,-17.62,-21.004,-19.369,-12.165,-3.163,3.754,9.328,6.733,0.955,-7.32,-11.43,-14.01
76.25,-60,-17.164,-19.054,-17.811,-11.333,-3.419,0.63,4.667,4.324,-0.446,-7.086,-10.652,-13.29
76.25,-56.25,-27.855,-25.648,-21.735,-15.687,-5.775,3.869,12.433,6.862,-2.571,-15.206,-20.786,-24.647
76.25,-52.5,-26.626,-25.616,-22.262,-16.185,-6.346,1.497,7.312,3.296,-6.229,-15.3,-19.722,-23.12
76.25,-48.75,-25.053,-25.254,-22.478,-16.406,-6.854,-1.545,2.379,-0.313,-9.675,-16.761,-20.241,-22.818
76.25,-45,-25.558,-26.89,-24.158,-17.162,-7.034,-1.242,3.617,-0.484,-10.237,-19.084,-22.632,-24.765
76.25,-41.25,-25.981,-27.974,-25.109,-16.936,-6.706,-0.695,6.276,1.314,-9.698,-20.292,-24.229,-26.045
76.25,-37.5,-25.609,-27.61,-24.956,-17.276,-7.367,-1.304,4.213,1.108,-10.221,-19.902,-23.856,-25.365
76.25,-33.75,-24.046,-25.49,-23.8,-18.04,-8.407,-2.437,-1.064,-3.086,-11.556,-18.147,-21.583,-23.01
76.25,-30,-22.551,-22.786,-21.933,-17.393,-7.654,-2.268,-1.102,-3.352,-11.671,-16.037,-18.469,-20.339
76.25,-26.25,-21.742,-20.773,-17.194,-8.868,-1.236,7.098,11.995,5.851,-4.184,-13.04,-16.658,-19.206
76.25,-22.5,-24.856,-23.886,-18.228,-6.872,1.36,12.002,14.232,8.642,-1.417,-12.398,-18.279,-21.74
73.75,71.25,-22.332,-23.323,-16.879,-6.354,0.922,4.397,7.197,6.276,2.49,-2.405,-6.953,-12.707
73.75,82.5,-25.316,-26.007,-17.639,-5.91,0.819,5.423,8.773,7.671,2.485,-3.747,-9.665,-17.134
73.75,86.25,-25.896,-26.193,-17.364,-5.484,1.435,6.191,9.561,8.237,2.704,-3.725,-9.913,-18.289
73.75,90,-28.859,-28.586,-18.755,-5.957,3.046,11.446,14.003,9.457,1.183,-8.388,-17.069,-23.274
73.75,93.75,-28.884,-28.632,-19.078,-6.286,2.496,10.776,13.291,8.695,0.904,-7.894,-16.359,-22.405
73.75,97.5,-28.518,-28.345,-18.875,-6.143,2.781,10.9,13.379,8.914,1.172,-6.765,-14.946,-21.542
73.75,101.25,-29.718,-29.323,-19.481,-6.333,3.025,11.67,14.177,9.409,1.02,-7.446,-16.071,-23.062
73.75,105,-31.262,-30.754,-20.685,-7.122,2.47,10.743,13.561,8.887,0.588,-8.425,-17.402,-24.507
73.75,108.75,-31.266,-30.596,-20.569,-7.046,1.997,9.933,12.608,8.368,0.456,-8.629,-17.613,-24.34
73.75,112.5,-31.184,-30.691,-20.672,-7.092,2.866,9.57,12.248,8.321,0.866,-8.56,-17.99,-24.61
73.75,116.25,-27.075,-27.194,-19.735,-7.762,0.858,4.616,7.448,6.919,2.053,-4.317,-12.007,-20.629
73.75,120,-29.375,-28.945,-20.481,-8.416,0.855,4.676,7.415,6.614,1.87,-3.992,-10.729,-20.741
73.75,123.75,-30.034,-29.607,-20.676,-8.239,0.843,5.076,8.075,6.719,1.55,-4.985,-12.006,-21.498
73.75,127.5,-29.456,-29.134,-20.752,-8.456,0.544,4.208,7.263,6.022,1.406,-5.43,-12.854,-21.707
73.75,-123.75,-26.339,-28.359,-20.657,-7.96,1.934,5.435,6.314,5.034,0.921,-4.948,-11.286,-19.296
73.75,-120,-25.87,-27.945,-21.086,-8.354,0.792,4.42,5.387,4.358,0.748,-4.272,-9.935,-17.545
73.75,-116.25,-25.918,-27.916,-21.256,-8.36,0.522,4.113,5.05,4.117,0.682,-3.61,-9.072,-16.308
73.75,-112.5,-25.691,-28.006,-21.321,-8.392,1.145,4.511,5.31,4.46,0.9,-3.244,-8.419,-15.637
73.75,-93.75,-25.57,-27.645,-20.336,-7.563,0.257,4.577,6.6,5.64,1.238,-5.06,-11.143,-18.007
