lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
83.75,116.25,13.11,11.49,12.33,19.44,27.54,32.25,39.12,40.38,47.52,37.29,27.72,24.36
83.75,120,13.14,11.61,12.18,20.07,28.92,35.37,42.39,42.24,49.5,37.41,28.53,24.69
83.75,123.75,12.87,11.4,11.85,19.32,28.2,29.49,36.24,39.48,50.49,37.26,27.84,24.45
83.75,127.5,12.99,11.64,12.15,19.71,30.45,30.33,38.88,42.57,53.85,38.67,27.81,24.48
83.75,131.25,13.17,11.73,12.3,20.46,31.68,30.84,40.29,44.25,56.19,39.48,27.81,24.33
83.75,135,12.57,11.4,11.55,18.69,28.65,24.57,33.06,41.58,54.45,38.07,27.39,23.85
83.75,138.75,12.3,11.22,11.01,17.64,27.21,24.54,32.61,39.18,52.8,36.36,26.82,23.37
83.75,142.5,12.66,11.58,11.07,17.91,27.51,26.16,32.88,38.7,53.58,36.09,27.48,24.21
83.75,146.25,12.84,11.64,10.8,17.16,25.05,19.38,25.08,32.07,51.45,34.35,26.85,24.45
81.25,37.5,15.45,12.54,15.84,21.06,27.42,34.38,40.71,58.83,48.69,41.4,31.11,27.09
81.25,60,16.11,12.78,16.56,21.63,24.3,31.26,33.69,50.97,52.02,41.76,33.6,28.23
81.25,63.75,16.14,12.87,17.25,23.28,29.7,42.54,46.05,56.46,57.27,44.04,35.49,29.1
81.25,67.5,16.38,12.93,17.7,25.05,34.71,48.84,51.42,61.2,62.79,44.25,34.77,29.61
81.25,71.25,15.33,11.76,16.35,23.91,32.4,44.07,46.59,58.56,62.43,43.2,34.11,28.98
81.25,75,13.32,10.05,14.52,20.94,27.12,37.56,40.26,50.16,57.36,38.16,29.64,25.77
81.25,78.75,13.08,9.81,14.22,19.77,26.22,27.99,31.53,45.3,55.26,36.48,28.5,25.53
81.25,105,12.57,11.97,13.53,21.84,27.36,34.59,42.21,42.06,44.34,36.39,26.19,24.48
81.25,108.75,12.72,11.73,12.75,21.33,26.73,30.45,37.92,40.8,43.62,36.81,26.82,25.05
