lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
83.75,116.25,-27.39,-33.148,-29.407,-13.415,2.952,12.349,18.335,15.393,5.199,-3.557,-9.476,-14.062
83.75,120,-28.351,-33.591,-29.608,-13.085,3.452,13.001,18.932,15.774,4.891,-4.835,-11.1,-15.904
83.75,123.75,-27.43,-32.809,-29.1,-13.368,2.857,12.144,18.276,15.499,5.395,-3.951,-10.366,-14.748
83.75,127.5,-26.523,-32.149,-28.747,-13.748,1.762,10.769,16.98,14.577,5.777,-2.771,-9.397,-13.579
83.75,131.25,-26.246,-31.83,-28.559,-13.762,1.284,10.133,16.419,14.056,5.839,-2.246,-9.028,-13.314
83.75,135,-26.795,-32.201,-28.929,-13.907,1.695,10.384,16.755,14.344,5.852,-2.295,-9.058,-13.609
83.75,138.75,-27.857,-32.959,-29.57,-13.751,2.578,11.762,17.881,15.067,5.633,-3.148,-10.265,-14.792
83.75,142.5,-28.867,-33.641,-30.1,-13.469,3.036,12.438,18.493,15.444,5.385,-4.156,-11.715,-16.287
83.75,146.25,-28.256,-33.341,-29.94,-13.496,3.142,12.137,18.604,15.442,5.548,-3.476,-10.446,-14.982
81.25,37.5,-26.321,-32.448,-27.047,-12.789,1.676,9.003,13.279,11.343,4.012,-2.887,-9.285,-13.766
81.25,60,-26.732,-32.509,-27.014,-12.876,2.338,9.596,14.995,12.908,4.61,-3.275,-10.212,-14.206
81.25,63.75,-26.104,-31.752,-26.651,-13.142,1.672,9.262,14.708,12.843,4.763,-2.942,-9.915,-14.178
81.25,67.5,-25.252,-31.083,-26.402,-13.369,0.941,8.631,14.107,12.5,4.548,-3.266,-10.047,-13.247
81.25,71.25,-25.581,-31.327,-26.553,-13.203,1.38,8.836,14.233,12.608,4.757,-3.181,-10.067,-13.201
81.25,75,-25.924,-31.416,-26.392,-12.356,2.96,10.32,15.523,13.269,5.037,-3.022,-9.896,-13.287
81.25,78.75,-26.879,-32.216,-27.013,-12.725,2.731,9.994,15.362,13.206,5.202,-3.134,-10.095,-13.905
